star_id,orbital_period,transit_duration,transit_depth,planet_radius,star_radius,star_temp,star_logg,label
446549905,2.4545635,2.321,4248.0,11.1276,1.64,6610.0,4.15,0
412014494,11.4756978,0.808,8341.0,14.1098,2.13,7262.0,4.0,0
369864738,2.78186,2.456,490.0,4.92567,2.21,6819.0,3.92,0
290348382,6.4410082,1.798,7076.0,4.59203,0.53,3469.0,4.71,0
409934330,2.4887726,2.632,4852.0,,,8048.0,4.438,0
379286801,4.45199,2.109,8483.38,15.8858,1.57,6708.3,4.2,0
304100538,5.0100708,2.0644756,409.4812214,2.3107394,0.906282,5551.0,4.46214,1
295541511,2.2281625,2.015,630.0,2.56778,1.02,5731.0,4.43,1
90919952,4.13812,3.911,5560.0,,,4898.4,,0
261369656,10.95663,3.588,3830.0,23.9726,2.07,6456.0,3.92,0
388104525,2.4997996,2.865171,14621.2059647,13.8516093,1.13732,5650.0,4.28867,1
143257766,1.66226,3.321,6030.0,13.3343,1.64,7301.0,4.23,0
24094603,4.07611,2.062,1454.18,,,,,0
304774444,3.6245513,3.042,1299.0,4.3503,1.38,6317.0,,0
469782185,1.20928,1.886,11883.8,15.1764,1.27,5159.8,4.23,0
128790976,3.5187707,2.408,5634.0,14.0061,1.49,6690.0,4.24,0
80166433,0.7724825,1.3744974,211.3168519,4.1624907,2.5027299,8271.0,3.95,1
405862830,1.6268695,3.231,1502.0,2.36498,0.73,5034.0,4.64,0
269450900,2.32439,4.453,2704.18,,,8268.5,3.93,0
425721385,13.5499,1.795,1180.0,6.24633,1.63,6209.0,4.09,0
91576611,4.43651,3.365,1520.0,19.9664,2.32,7101.9,3.91,0
97409519,3.372877,2.63426,17163.60419,14.201803,1.02,6050.0,4.45061,1
254113311,8.34998,1.836,16680.0,11.1424,0.74,4236.0,4.52,1
254113311,4.0686405,1.8373729,2650.0950013,3.7548333,0.741921,4236.0,4.52,1
198213332,0.5860366,0.8098934,410.5241553,4.906408,2.39803,5579.0,3.67,1
267489265,1.5502952,2.938,411.0,3.34528,1.86,7851.0,4.17,0
69997672,1.80709,3.297,450.0,4.86242,2.2,6244.0,3.84,0
122220263,18.6922101,7.765,11126.0,18.1458,1.65,6277.0,4.09,0
154872375,8.0277326,4.284,5705.0,9.06883,1.15,5962.7,4.38,1
142276270,12.5187279,5.38,2320.0,5.58857,0.98,5729.0,4.47,1
142276270,6.2586065,3.201,813.0,2.51593,0.98,5729.0,4.47,1
142276270,26.3208756,4.414,800.0,2.71349,0.98,5729.0,4.47,1
142276270,18.795547,4.3425576,470.6731965,2.1597669,0.977727,5729.0,4.47,1
89389197,1.3206356,1.6000996,1052.4255997,34.7561624,6.3070302,4919.6,,1
110428269,0.64971,2.076,620.0,6.23181,2.59,9994.0,4.02,0
202563254,4.4780798,4.513,1054.0,11.3678,1.83,7947.0,4.2,1
25155310,3.2887898,3.4367717,7005.7247902,10.5135877,1.24175,5800.0,4.28004,1
320525204,13.7431084,2.285,5688.0,12.05,1.34,5941.5,,0
159510109,16.9487087,4.2887767,156467.5479643,45.2204505,1.1179,5894.7,4.37,0
284450803,3.3686634,3.012,3288.0,42.2321,2.68,7518.0,3.82,0
160268701,11.2071839,4.366,3276.0,17.4989,2.24,6152.0,3.84,0
28230919,4.8878037,2.184,4279.0,5.29152,0.76,4757.3,4.56,1
350995812,2.97164,1.534,7350.0,,,8562.5,,0
21755546,0.660179,1.6349369,473.0939303,6.1672487,2.62432,8598.7,4.1,0
288391628,10.9278415,2.468,2743.0,49.1695,2.92,6259.0,3.59,0
349827430,5.5514888,4.335,9493.0,15.8043,1.55,6403.9,4.16,1
117789567,2.3202418,2.3817612,5082.9417064,,,8737.5,,0
281541555,4.7423709,2.4988145,12650.8110411,10.5505922,0.877585,5377.0,4.42476,1
16740101,1.4810903,4.1588291,6788.5145388,20.3402421,2.28773,9435.0,4.11,1
69679391,3.4741012,3.317,15748.0,21.2912,1.62,8894.8,4.38,1
237184773,6.5011911,5.5463587,4501.3454064,,,5485.0,,0
154840461,6.0360758,1.255,987.0,9.86763,1.69,6528.3,4.21,0
459970307,21.745537,4.196,659.0,2.10208,0.93,5704.0,4.51,1
161450762,1.32003,3.175,552.468,,,,,0
117256577,1.6865822,2.429,1770.0,,,,,0
147576037,13.0727479,3.044,4080.0,35.7944,3.59,5709.8,3.37,0
379931600,2.9258727,4.075,6720.0,24.4055,1.3,4884.5,,0
48188920,0.73774,0.636,524.852,5.28215,2.1,6449.5,3.94,0
238176110,2.7985802,2.3801043,16708.7151957,11.9514993,0.906655,4920.0,4.49371,1
89510024,2.3664127,2.591,300.0,,,,,0
158324245,1.7635881,3.092,6650.0,,,7986.1,,1
13419950,7.3166682,3.255,3210.0,,,8730.0,,1
375542276,3.0771612,2.6914319,4703.2844346,,,9311.3,,1
16102323,3.2077145,2.708,9640.0,,,,,0
458478250,2.2552845,2.05,20820.0,14.688,0.96,5787.0,4.5,1
138361973,1.8824539,2.46,1391.0,8.29008,1.13,5900.4,4.39,0
232967666,15.196,1.792,1970.0,4.96345,1.14,5807.0,,0
41330864,2.1358631,1.559,10325.0,23.6019,1.5,5969.0,4.17,0
302518439,6.7075429,2.125,11920.0,17.4647,1.24,6134.3,,1
322307342,3.5862962,3.3710943,5729.3246858,16.4747611,2.00441,5704.8,3.84,1
294176967,1.8296155,2.166,1406.0,29.3616,3.5,7875.0,3.61,0
101929303,11.1876137,3.183,4924.0,31.8624,2.05,7266.0,4.06,0
1717732429,7.8513949,6.835,22029.0,,,,,0
232967440,7.0643978,2.424,8268.0,9.39131,0.96,5429.6,4.44,1
154089169,8.9534775,2.696,1136.0,2.35888,0.76,5029.5,4.61,1
30329585,7.5022708,2.605,1760.0,5.55812,1.27,6229.0,4.31,0
230088370,14.0077666,5.8727493,5924.8349672,12.4023108,1.57435,6557.7,4.18,1
169177766,1.692892,2.886,1418.0,11.2371,2.1,9121.5,4.21,0
359496368,2.6652007,3.49,819.0,2.35964,0.56,4043.4,4.69,0
148914726,1.2615323,1.039,2841.0,8.67407,0.78,4927.9,4.57,0
266980320,6.0344667,1.89,1800.0,4.44029,1.05,5586.0,4.36763,1
158002130,9.6867516,2.512,1669.0,3.00336,0.73,4738.1,4.59,1
229510866,2.1031647,5.059,7142.0,16.7087,1.93,6122.0,3.93,1
341544930,7.6416041,2.654,6025.0,27.538,2.05,6496.7,,0
258777137,5.9294088,2.933,10226.0,10.8101,1.06,5095.6,,0
233087860,5.7484439,1.76,1041.0,2.35215,0.69,4534.0,4.61,1
83210867,1.1967018,1.879,824.0,10.3239,1.73,5997.0,4.0,0
289539327,11.2464616,7.391,7576.0,17.6677,2.01,6115.7,3.89,0
372757221,2.5941968,0.861,907.0,4.47229,1.4,6389.0,4.26,1
15247229,8.5112,3.486,4172.76,,,8156.0,4.35,0
112026224,3.9687994,1.07,1760.0,,,5286.9,,1
278683844,5.5411114,2.467,633.0,2.04482,0.82,5332.0,4.56429,1
278683844,10.6917268,3.002,535.0,1.79811,0.82,5332.0,4.56429,1
287196418,3.6950015,4.515,7655.0,14.1288,1.63,7106.7,4.2,0
237185205,15.7335693,3.288,2540.0,24.3218,2.21,6800.0,3.91,0
158276040,45.9403293,3.768,14807.0,28.3312,1.28,6479.3,,0
89643259,2.2219839,1.996,4394.0,15.4416,1.87,7166.8,,0
147950620,2.3106428,1.294,6911.0,8.76741,0.99,5339.9,4.41,1
24364065,4.05135,2.4,1132.23,14.2359,3.85,4974.4,,0
69068526,5.5376617,2.517,5390.0,15.6557,2.06,6689.0,3.96,1
92677094,4.5960377,4.744,5000.0,16.2166,2.12,7649.0,4.04,1
203189770,3.612771,4.142,11794.0,19.3662,1.71,8324.0,4.28,1
99869022,3.6714717,2.149,4340.0,10.678,1.54,5618.0,4.06,1
394137592,11.535076,8.555958,2389.90616,12.215808,2.48771,5479.3,3.77,1
288185138,0.8352406,1.043,2065.0,6.4875,1.24,6105.0,4.31,0
29960110,2.4919771,1.4338141,2093.9594201,2.2187585,0.482388,3948.0,4.68962,1
327017634,,2.726775,878.134108,1.710706,0.577983,3773.0,4.438,0
23434737,25.5195307,6.6877451,558.3758637,2.9641461,1.17321,5742.22,4.29,1
467666275,1.3812115,2.7372191,117.7553083,2.2402361,1.7756799,6711.0,4.06358,1
287776397,2.3922703,9.0053425,63.575141,3.5905923,4.1956,6090.0,3.29864,1
308034948,0.831542,1.985538,248.969585,1.881684,1.1512,5824.0,4.438,0
364393429,2.6282553,2.0930597,75.2858004,0.9817044,1.10743,6282.0,4.37809,1
273985865,3.4239436,1.9601023,443.6391381,1.7581475,0.823019,5626.0,4.56195,1
273985865,10.983042,3.7478987,725.1724567,2.5070075,0.823019,5626.0,4.56195,1
273985865,17.726449,3.4404719,747.7725499,2.261664,0.823019,5626.0,4.56195,1
30037565,40.7199388,4.2436925,355.619391,3.2352713,1.55953,5914.0,3.98,1
207081058,14.7741056,5.504,15041.0,15.3936,1.23,6053.0,4.3135,0
33878688,79.3739596,5.392,1227.0,2.17454,0.77,5168.33,4.60584,0
50312495,18.1663644,2.464,624.0,2.80447,1.14,5572.9,3.83,1
389924075,105.5850893,11.6068811,462.9116325,2.5033335,1.1142,5909.57,4.26154,1
399144800,27.2149622,3.7190483,4731.4046225,8.3475973,0.989667,6270.0,4.54537,0
451606970,19.1807264,3.9621084,544.5602695,2.4311768,0.937973,5262.4,3.98,1
453260209,1.2124493,0.9984653,501.2911711,0.879419,0.518,3751.0,4.75718,1
141527965,4.5541831,7.8146963,187.8286128,0.8887417,0.635812,4280.0,4.61209,1
248092710,41.4856125,6.6899368,959.7522291,12.5121956,3.4868701,6354.0,4.24472,1
294781547,13.7738265,2.9992376,338.2166234,1.8971927,1.01825,5455.96,4.46737,1
294981566,1.9142544,3.256,248.0,2.04421,1.59,6734.0,4.18582,1
231702397,5.0780325,1.2100353,5923.1283069,2.6347763,0.334125,3318.0,4.9581,1
319259194,70.3607265,1.0325441,1353.9678246,8.2807306,2.0982201,6308.0,3.98679,0
349095149,91.6827832,9.7504857,713.2183569,3.239855,1.01814,5802.0,4.44521,1
374997123,10.1944993,2.2648785,317.3261147,2.7392825,1.32661,6082.0,4.33287,1
382437043,14.64319,2.5483426,242.7923919,3.41248,2.04178,6516.0,3.99366,0
299798795,4.1782656,1.675904,2537.6781602,2.1023854,0.404403,3442.0,4.893,1
299798795,17.9453645,3.0740072,5480.684864,3.3839124,0.404403,3442.0,4.893,1
150428703,13.896396,3.5885605,748.5332881,2.4586343,0.888163,5522.87,4.67156,1
150428703,8.1213102,3.1040945,594.6443745,2.3157186,0.888163,5522.87,4.67156,1
177115354,3.9287851,1.8165271,485.9762569,2.329279,0.986943,5668.15,4.52573,1
360156606,27.3613778,4.0586418,20690.6684294,6.4522449,0.44128,3050.0,4.438,1
300038935,29.0497517,7.117,318.0,2.84674,1.8,8208.0,4.25979,1
140760434,31.8132264,11.2567164,11479.375547,21.6314984,1.98893,6028.84,3.96199,0
290131778,3.3088922,6.114,4736.0,24.9862,2.62,6188.0,4.27166,1
287156968,25.0571312,7.5424225,533.486013,3.2396838,1.15281,5696.0,4.26563,1
447061717,24.2454967,3.3725583,6260.6703602,3.878568,0.465271,3535.0,4.84874,1
364395234,14.2545623,4.7250029,7899.6939555,10.7048234,1.09597,5739.0,4.28235,1
260647166,14.1758947,3.7543827,907.1324529,2.6231641,0.864173,5723.87,4.438,1
260647166,19.5901578,4.002861,1182.6678641,3.0026428,0.864173,5723.87,4.438,1
260647166,6.2036219,3.01098,548.9044399,2.056748,0.864173,5723.87,4.438,1
260647166,3.79589,2.4602856,317.5272928,1.553135,0.864173,5723.87,4.438,1
90504905,2.2645386,3.8193701,15019.9420903,5.1936764,0.411471,3443.0,4.81617,0
103633434,3.4447015,1.912,796.0,2.00495,0.63,3912.0,4.62642,1
120757718,3.0300715,2.5466671,21794.6136956,12.7529892,0.857369,5242.82,4.52404,1
120960812,12.72038,2.401,1070.0,4.96046,1.48,6212.0,4.17664,1
120960812,6.238755,3.6178567,373.5681138,2.9728283,1.47768,6212.0,4.17664,1
153951307,3.2947689,1.7483103,1324.0402774,2.5248559,0.62326,3853.0,4.63168,1
153951307,0.7645807,1.07057,394.9832006,1.2407226,0.62326,3853.0,4.63168,1
154716798,12.6396982,3.3830702,3292.6812864,4.6025162,0.789425,5217.0,4.59186,1
29831208,1.8428078,1.449,1950.0,21.2705,4.09,5080.0,4.48159,0
158170594,1.7208555,1.8346409,10014.2587401,13.4646314,1.33402,5832.83,4.20893,1
159107668,4.7802597,1.4588658,1015.4550043,7.6126429,2.3387201,5826.0,3.7213,1
198212955,0.3814849,0.565,570.0,2.0605,0.71,4255.0,4.55641,1
219698776,4.6595169,0.9011821,1725.1706259,2.1961507,0.490729,3489.0,4.74553,1
219850915,6.4002807,2.1559875,1026.6018729,2.2730301,0.720551,4599.0,4.58487,1
229781583,4.8204512,1.756,1930.0,2.36747,0.52,3692.0,4.71598,1
230127302,18.6548829,5.4431451,1495.4449473,4.3869878,0.876154,5141.0,4.49143,1
230127302,4.3074513,2.3379196,1094.8419495,3.2819879,0.876154,5141.0,4.49143,1
230127302,5.9041278,2.7678313,773.9266468,2.4489454,0.876154,5141.0,4.49143,1
230127302,37.9251983,3.5345219,1370.7888539,3.241643,0.876154,5141.0,4.49143,1
232540264,15.9234883,4.021,493.0,2.18203,1.08,5711.85,4.38315,1
232612416,4.3601536,2.3408909,5592.2909183,6.9564258,0.874131,5227.0,4.50479,1
232976128,13.0791581,2.97,1143.0,3.25485,1.0,5453.0,4.41707,1
52368076,4.6517186,2.709,978.0,2.66889,0.85,5154.0,4.47072,1
52368076,9.1549418,2.457,1101.0,2.62011,0.85,5154.0,4.47072,1
52368076,19.9815709,2.724,909.0,2.54717,0.85,5154.0,4.47072,1
52368076,,4.6235211,738.7670156,2.9700035,0.852266,5154.0,4.47072,1
233059608,1.4415044,0.9274524,547.3172736,3.8345209,1.58365,6603.0,4.438,0
233120979,5.9630544,2.951,11000.0,10.0859,0.94,5273.0,4.438,0
233211762,1.1219715,0.8226121,3997.6445916,3.9968417,0.624,5780.0,4.67672,1
233684822,4.6756655,1.914,738.0,4.03134,1.45,5779.0,4.88162,0
