pl_orbper,pl_trandurh,pl_trandep,pl_rade,st_rad,st_teff,st_logg
3.5187707,2.408,5634.0,14.0061,1.49,6690.0,4.24
0.7724825,1.3744974,211.3168519,4.1624907,2.5027299,8271.0,3.95
1.6268695,3.231,1502.0,2.36498,0.73,5034.0,4.64
2.32439,4.453,2704.18,10.544,1.23434,8268.5,3.93
13.5499,1.795,1180.0,6.24633,1.63,6209.0,4.09
4.43651,3.365,1520.0,19.9664,2.32,7101.9,3.91
3.372877,2.63426,17163.60419,14.201803,1.02,6050.0,4.45061
8.34998,1.836,16680.0,11.1424,0.74,4236.0,4.52
4.0686405,1.8373729,2650.0950013,3.7548333,0.741921,4236.0,4.52
0.5860366,0.8098934,410.5241553,4.906408,2.39803,5579.0,3.67
1.5502952,2.938,411.0,3.34528,1.86,7851.0,4.17
1.80709,3.297,450.0,4.86242,2.2,6244.0,3.84
18.6922101,7.765,11126.0,18.1458,1.65,6277.0,4.09
8.0277326,4.284,5705.0,9.06883,1.15,5962.7,4.38
12.5187279,5.38,2320.0,5.58857,0.98,5729.0,4.47
6.2586065,3.201,813.0,2.51593,0.98,5729.0,4.47
26.3208756,4.414,800.0,2.71349,0.98,5729.0,4.47
18.795547,4.3425576,470.6731965,2.1597669,0.977727,5729.0,4.47
1.3206356,1.6000996,1052.4255997,34.7561624,6.3070302,4919.6,4.33
0.64971,2.076,620.0,6.23181,2.59,9994.0,4.02
4.4780798,4.513,1054.0,11.3678,1.83,7947.0,4.2
3.2887898,3.4367717,7005.7247902,10.5135877,1.24175,5800.0,4.28004
13.7431084,2.285,5688.0,12.05,1.34,5941.5,4.33
16.9487087,4.2887767,156467.5479643,45.2204505,1.1179,5894.7,4.37
3.3686634,3.012,3288.0,42.2321,2.68,7518.0,3.82
11.2071839,4.366,3276.0,17.4989,2.24,6152.0,3.84
4.8878037,2.184,4279.0,5.29152,0.76,4757.3,4.56
2.97164,1.534,7350.0,10.544,1.23434,8562.5,4.33
0.660179,1.6349369,473.0939303,6.1672487,2.62432,8598.7,4.1
10.9278415,2.468,2743.0,49.1695,2.92,6259.0,3.59
5.5514888,4.335,9493.0,15.8043,1.55,6403.9,4.16
2.3202418,2.3817612,5082.9417064,10.544,1.23434,8737.5,4.33
4.7423709,2.4988145,12650.8110411,10.5505922,0.877585,5377.0,4.42476
1.4810903,4.1588291,6788.5145388,20.3402421,2.28773,9435.0,4.11
3.4741012,3.317,15748.0,21.2912,1.62,8894.8,4.38
6.5011911,5.5463587,4501.3454064,10.544,1.23434,5485.0,4.33
6.0360758,1.255,987.0,9.86763,1.69,6528.3,4.21
21.745537,4.196,659.0,2.10208,0.93,5704.0,4.51
1.32003,3.175,552.468,10.544,1.23434,5800.55,4.33
1.6865822,2.429,1770.0,10.544,1.23434,5800.55,4.33
13.0727479,3.044,4080.0,35.7944,3.59,5709.8,3.37
2.9258727,4.075,6720.0,24.4055,1.3,4884.5,4.33
0.73774,0.636,524.852,5.28215,2.1,6449.5,3.94
2.7985802,2.3801043,16708.7151957,11.9514993,0.906655,4920.0,4.49371
2.3664127,2.591,300.0,10.544,1.23434,5800.55,4.33
1.7635881,3.092,6650.0,10.544,1.23434,7986.1,4.33
7.3166682,3.255,3210.0,10.544,1.23434,8730.0,4.33
3.0771612,2.6914319,4703.2844346,10.544,1.23434,9311.3,4.33
3.2077145,2.708,9640.0,10.544,1.23434,5800.55,4.33
2.2552845,2.05,20820.0,14.688,0.96,5787.0,4.5
1.8824539,2.46,1391.0,8.29008,1.13,5900.4,4.39
15.196,1.792,1970.0,4.96345,1.14,5807.0,4.33
2.1358631,1.559,10325.0,23.6019,1.5,5969.0,4.17
6.7075429,2.125,11920.0,17.4647,1.24,6134.3,4.33
3.5862962,3.3710943,5729.3246858,16.4747611,2.00441,5704.8,3.84
1.8296155,2.166,1406.0,29.3616,3.5,7875.0,3.61
